Well,Strain,Arsenic,Concentration
A1,A2706,V,0
A2,A2706,V,10
A3,A2706,V,25
A4,A2706,V,50
A5,A2706,V,100
A6,A2706,V,200
A7,I2713,V,0
A8,I2713,V,10
A9,I2713,V,25
A10,I2713,V,50
A11,I2713,V,100
A12,I2713,V,200
B1,A2706,V,0
B2,A2706,V,10
B3,A2706,V,25
B4,A2706,V,50
B5,A2706,V,100
B6,A2706,V,200
B7,I2748,V,0
B8,I2748,V,10
B9,I2748,V,25
B10,I2748,V,50
B11,I2748,V,100
B12,I2748,V,200
C1,A2706,V,0
C2,A2706,V,10
C3,A2706,V,25
C4,A2706,V,50
C5,A2706,V,100
C6,A2706,V,200
C7,I2748,V,0
C8,I2748,V,10
C9,I2748,V,25
C10,I2748,V,50
C11,I2748,V,100
C12,I2748,V,200
D1,I2711,V,0
D2,I2711,V,10
D3,I2711,V,25
D4,I2711,V,50
D5,I2711,V,100
D6,I2711,V,200
D7,I2748,V,0
D8,I2748,V,10
D9,I2748,V,25
D10,I2748,V,50
D11,I2748,V,100
D12,I2748,V,200
E1,I2711,V,0
E2,I2711,V,10
E3,I2711,V,25
E4,I2711,V,50
E5,I2711,V,100
E6,I2711,V,200
E7,I2759,V,0
E8,I2759,V,10
E9,I2759,V,25
E10,I2759,V,50
E11,I2759,V,100
E12,I2759,V,200
F1,I2711,V,0
F2,I2711,V,10
F3,I2711,V,25
F4,I2711,V,50
F5,I2711,V,100
F6,I2711,V,200
F7,I2759,V,0
F8,I2759,V,10
F9,I2759,V,25
F10,I2759,V,50
F11,I2759,V,100
F12,I2759,V,200
G1,I2713,V,0
G2,I2713,V,10
G3,I2713,V,25
G4,I2713,V,50
G5,I2713,V,100
G6,I2713,V,200
G7,I2759,V,0
G8,I2759,V,10
G9,I2759,V,25
G10,I2759,V,50
G11,I2759,V,100
G12,I2759,V,200
H1,I2713,V,0
H2,I2713,V,10
H3,I2713,V,25
H4,I2713,V,50
H5,I2713,V,100
H6,I2713,V,200
H7,NEG,V,0
H8,NEG,V,10
H9,NEG,V,25
H10,NEG,V,50
H11,NEG,V,100
H12,NEG,V,200
